strain,n_loci
BXD001,66016
BXD002,68174
BXD005,69218
BXD006,60229
BXD008,62237
BXD009,63905
BXD011,70691
BXD012,70581
BXD013,67308
BXD014,68524
BXD015,68450
BXD016,68829
BXD018,62517
BXD019,66850
BXD020,67319
BXD021,69671
BXD022,68529
BXD024_cep,69789
BXD024,66197
BXD027,68379
BXD028,62636
BXD029,69318
BXD029_trl4,69789
BXD031,69384
BXD032,68497
BXD033,42799
BXD034,70294
BXD036,70896
BXD038,69302
BXD039,59144
BXD040,66623
BXD042,66623
BXD043,68945
BXD044,69674
BXD045,65728
BXD048a,68624
BXD048,58968
BXD049,66964
BXD050,68637
BXD051,66035
BXD053,51146
BXD055,69545
BXD056,69254
BXD060,70291
BXD061,69709
BXD062,59349
BXD063,68072
BXD064,69630
BXD065a,65046
BXD065,62083
BXD065b,66749
BXD066,56627
BXD067,65582
BXD068,64180
BXD069,68430
BXD070,61200
BXD071,68570
BXD073a,59964
BXD073b,54320
BXD073,46264
BXD074,47662
BXD075,65185
BXD077,65319
BXD078,69966
BXD079,56921
BXD081,64370
BXD083,66101
BXD084,69467
BXD085,69542
BXD086,67427
BXD087,69410
BXD088,69077
BXD089,62873
BXD090,67410
BXD091,62588
BXD095,48601
BXD098,64536
BXD099,66770
BXD100,67739
BXD101,52140
BXD102,68557
BXD111,63931
BXD113,69771
BXD114,58519
BXD122,70568
BXD123,69100
BXD124,68980
BXD125,66883
BXD127,69368
BXD128,70570
BXD131,70009
BXD137,68190
BXD141,51332
BXD144,69059
BXD147,67186
BXD148,69297
BXD149,70171
BXD150,59790
BXD151,69716
BXD152,67718
BXD154,67292
BXD155,69678
BXD156,69557
BXD157,68598
BXD160,66390
BXD161,68705
BXD162,69618
BXD168,71027
BXD169,59767
BXD170,47230
BXD171,67781
BXD172,64877
BXD173,62861
BXD174,65098
BXD175,43828
BXD176,69444
BXD177,69547
BXD178,69377
BXD180,66843
BXD181,50073
BXD183,69498
BXD184,56926
BXD186,68409
BXD187,59562
BXD190,66986
BXD191,68809
BXD194,69408
BXD195,70801
BXD196,69959
BXD197,57090
BXD198,69666
BXD199,66103
BXD201,66284
BXD202,69487
BXD204,69578
BXD205,69404
BXD209,71804
BXD211,69979
BXD213,70440
BXD214,49976
BXD215,46026
BXD216,54713
BXD217,63177
BXD218,61713
BXD219,68288
BXD221,57810
BXD222,71191
BXD223,68969
BXD224,60455
BXD225,68823
BXD226,70881
BXD227,70890
C57BL,74399
DBA,74357
