"","strain","motif_len","pheno","n","metric"
"1","BXD001","4",0.00625605913717887,413,"% denovo"
"2","BXD002","4",0.00764220964003872,521,"% denovo"
"3","BXD005","4",0.00712242480279696,493,"% denovo"
"4","BXD006","4",0.00808580584104003,487,"% denovo"
"5","BXD008","4",0.0038883622282565,242,"% denovo"
"6","BXD009","4",0.00694781316015961,444,"% denovo"
"7","BXD011","4",0.00602622681812395,426,"% denovo"
"8","BXD012","4",0.00757994361088678,535,"% denovo"
"9","BXD013","4",0.00479883520532478,323,"% denovo"
"10","BXD014","4",0.00770532951958438,528,"% denovo"
"11","BXD015","4",0.00636961285609934,436,"% denovo"
"12","BXD016","4",0.00565168751543681,389,"% denovo"
"13","BXD018","4",0.00702208999152231,439,"% denovo"
"14","BXD019","4",0.00744951383694839,498,"% denovo"
"15","BXD020","4",0.0071153760453958,479,"% denovo"
"16","BXD021","4",0.00381794433839044,266,"% denovo"
"17","BXD022","4",0.00675626377154197,463,"% denovo"
"18","BXD024","4",0.00521171654304576,345,"% denovo"
"19","BXD024_cep","4",0.00669159896258723,467,"% denovo"
"20","BXD027","4",0.00694657716550403,475,"% denovo"
"21","BXD028","4",0.00603486812695574,378,"% denovo"
"22","BXD029","4",0.00347673043076834,241,"% denovo"
"23","BXD029_trl4","4",0.00498645918411211,348,"% denovo"
"24","BXD031","4",0.00912314078173642,633,"% denovo"
"25","BXD032","4",0.0071389987882681,489,"% denovo"
"26","BXD033","4",0.00261688357204608,112,"% denovo"
"27","BXD034","4",0.00284519304634819,200,"% denovo"
"28","BXD036","4",0.00225682690137666,160,"% denovo"
"29","BXD038","4",0.00392485065366079,272,"% denovo"
"30","BXD039","4",0.0028067090491005,166,"% denovo"
"31","BXD040","4",0.00319709409663329,213,"% denovo"
"32","BXD042","4",0.00385752667997538,257,"% denovo"
"33","BXD043","4",0.00303140184204801,209,"% denovo"
"34","BXD044","4",0.00238252432758274,166,"% denovo"
