long_name,short_name,bxd_id,off_epoch,gen_inbreeding,gen_breeding,cross_type,is_seq_snp.x,is_seq_str.x,is_seq_snp.y,is_seq_str.y
4512-JFI-0361_BXD001_TyJ,BXD001_TyJ_0361,BXD001,epoch_1a,154,154,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0430_BXD002_RwwJ,BXD2_RwwJ_0430,BXD002,epoch_1a,186,186,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0389_BXD5_TyJ,BXD5_TyJ_0389,BXD005,epoch_1a,142,142,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0474_BXD006_TyJ,BXD6_TyJ_0474,BXD006,epoch_1a,188,188,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0372_BXD008_TyJ,BXD8_TyJ_0372,BXD008,epoch_1a,73,73,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0383_BXD009_TyJ,BXD9_TyJ_0383,BXD009,epoch_1a,NA,NA,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0368_BXD011_TyJ,BXD11_TyJ_0368,BXD011,epoch_1a,161,161,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0464_BXD12_TyJ,BXD12_TyJ_0464,BXD012,epoch_1a,137,137,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0410_BXD013_TyJ,BXD13_TyJ_0410,BXD013,epoch_1a,111,111,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0458_BXD14_TyJ,BXD14_TyJ_0458,BXD014,epoch_1a,154,154,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0392_BXD15_TyJ,BXD15_TyJ_0392,BXD015,epoch_1a,126,126,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0393_BXD016_TyJ,BXD16_TyJ_0393,BXD016,epoch_1a,183,183,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0477_BXD18_TyJ,BXD18_TyJ_0477,BXD018,epoch_1a,164,164,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0481_BXD19_TyJ,BXD19_TyJ_0481,BXD019,epoch_1a,163,163,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0407_BXD20_TyJ,BXD20_TyJ_0407,BXD020,epoch_1a,150,150,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0432_BXD21_TyJ,BXD21_TyJ_0432,BXD021,epoch_1a,70,70,RI,TRUE,TRUE,TRUE,TRUE
4512-JFI-0350_BXD22_TyJ,BXD22_TyJ_0350,BXD022,epoch_1a,144,144,RI,TRUE,TRUE,TRUE,TRUE
NA,NA,BXD023,epoch_1a,NA,NA,RI,FALSE,FALSE,FALSE,FALSE
4512-JFI-0348_BXD24_TyJ_Cep290_J,BBXD24_TyJ_Cep290_J_0348,BXD024_cep,epoch_1a,180,180,RI,TRUE,TRUE,TRUE,TRUE
