"","metric","chr","pos","end","LOD","lod_thresh"
"1","% denovo","chr1",3010274,3010274,0.1814617452229,3.26617838769416
"2","% denovo","chr1",3492195,3492195,0.18146174522295,3.26617838769416
"3","% denovo","chr1",3511204,3511204,0.181558664780724,3.26617838769416
"4","% denovo","chr1",3659804,3659804,0.181558664780823,3.26617838769416
"5","% denovo","chr1",3777023,3777023,0.181656295308916,3.26617838769416
"6","% denovo","chr1",3812265,3812265,0.181754638170336,3.26617838769416
"7","% denovo","chr1",4430623,4430623,0.181853694332901,3.26617838769416
"8","% denovo","chr1",4446737,4446737,0.181853694333,3.26617838769416
"9","% denovo","chr1",4518714,4518714,0.181953465103384,3.26617838769416
"10","% denovo","chr1",4776317,4776317,0.181953465103483,3.26617838769416
"11","% denovo","chr1",4820983,4820983,0.182053951261194,3.26617838769416
"12","% denovo","chr1",4847112,4847112,0.182162182354255,3.26617838769416
"13","% denovo","chr1",4878056,4878056,0.2119808249768,3.26617838769416
"14","% denovo","chr1",5018010,5018010,0.21208062903978,3.26617838769416
"15","% denovo","chr1",5025197,5025197,0.18032065442081,3.26617838769416
"16","% denovo","chr1",5028801,5028801,0.18032065442086,3.26617838769416
"17","% denovo","chr1",5119671,5119671,0.180421448562879,3.26617838769416
"18","% denovo","chr1",5155818,5155818,0.180421448562978,3.26617838769416
"19","% denovo","chr1",5185979,5185979,0.173957639917532,3.26617838769416
"20","% denovo","chr1",5316776,5316776,0.173957584065611,3.26617838769416
"21","% denovo","chr1",5641533,5641533,0.15796537902761,3.26617838769416
"22","% denovo","chr1",6097778,6097778,0.157965379027659,3.26617838769416
"23","% denovo","chr1",6357478,6357478,0.0698020333298634,3.26617838769416
"24","% denovo","chr1",6747440,6747440,0.100944653633313,3.26617838769416
"25","% denovo","chr1",6830161,6830161,0.100944653633362,3.26617838769416
"26","% denovo","chr1",9843988,9843988,0.100944653633412,3.26617838769416
"27","% denovo","chr1",10098253,10098253,0.163519253793261,3.26617838769416
"28","% denovo","chr1",10162992,10162992,0.0539220148260855,3.26617838769416
"29","% denovo","chr1",10809088,10809088,0.0319650208896414,3.26617838769416
"30","% denovo","chr1",11083825,11083825,0.025601345899133,3.26617838769416
"31","% denovo","chr1",11416077,11416077,0.0256013458967137,3.26617838769416
