strain	strain_id	chr	het	hom	nocall	call	n_loci	call_rate
BXD001	1	chr1	860	489638	30	490498	490528	0.9999388414117033
BXD001	1	chr10	591	168502	14	169093	169107	0.9999172121792711
BXD001	1	chr11	466	269795	9	270261	270270	0.9999666999667
BXD001	1	chr12	84	217591	9	217675	217684	0.9999586556660113
BXD001	1	chr13	1001	176085	13	177086	177099	0.9999265947295016
BXD001	1	chr14	872	364537	15	365409	365424	0.9999589517929857
BXD001	1	chr15	176	150221	11	150397	150408	0.9999268655922557
BXD001	1	chr16	98	132826	5	132924	132929	0.9999623859353489
BXD001	1	chr17	2934	206797	21	209731	209752	0.9998998817651321
BXD001	1	chr18	319	106216	3	106535	106538	0.9999718410332463
BXD001	1	chr19	856	135924	11	136780	136791	0.9999195853528375
BXD001	1	chr2	1540	372051	26	373591	373617	0.9999304100188161
BXD001	1	chr3	1145	318638	16	319783	319799	0.9999499685740105
BXD001	1	chr4	8637	285814	140	294451	294591	0.999524764843461
BXD001	1	chr5	493	227836	13	228329	228342	0.9999430678543588
BXD001	1	chr6	2199	244223	24	246422	246446	0.9999026155831298
BXD001	1	chr7	263	351692	11	351955	351966	0.9999687469812425
BXD001	1	chr8	1375	314333	19	315708	315727	0.9999398214280059
BXD001	1	chr9	1041	211611	18	212652	212670	0.9999153618281845
BXD002	2	chr1	1006	489505	17	490511	490528	0.9999653434666319
BXD002	2	chr10	1164	167929	14	169093	169107	0.9999172121792711
BXD002	2	chr11	887	269376	7	270263	270270	0.9999740999741
BXD002	2	chr12	368	217303	13	217671	217684	0.9999402804064608
BXD002	2	chr13	1407	175685	7	177092	177099	0.9999604740851162
BXD002	2	chr14	2927	362474	23	365401	365424	0.9999370594159114
BXD002	2	chr15	960	149440	8	150400	150408	0.9999468113398223
BXD002	2	chr16	423	132498	8	132921	132929	0.9999398174965584
BXD002	2	chr17	687	209047	18	209734	209752	0.9999141843701133
BXD002	2	chr18	979	105550	9	106529	106538	0.9999155230997391
BXD002	2	chr19	92	136696	3	136788	136791	0.9999780687325921
BXD002	2	chr2	1179	372426	12	373605	373617	0.9999678815471459
BXD002	2	chr3	2418	317368	13	319786	319799	0.9999593494663835
BXD002	2	chr4	209	294375	7	294584	294591	0.9999762382421731
BXD002	2	chr5	2030	226286	26	228316	228342	0.9998861357087176
BXD002	2	chr6	455	245975	16	246430	246446	0.9999350770554198
BXD002	2	chr7	1962	349988	16	351950	351966	0.9999545410636255
BXD002	2	chr8	139	315573	15	315712	315727	0.9999524906010573
BXD002	2	chr9	981	211674	15	212655	212670	0.9999294681901537
BXD005	3	chr1	3344	487149	35	490493	490528	0.9999286483136539
BXD005	3	chr10	946	168150	11	169096	169107	0.9999349524265702
BXD005	3	chr11	227	270039	4	270266	270270	0.9999851999852
BXD005	3	chr12	54	217624	6	217678	217684	0.9999724371106742
BXD005	3	chr13	413	176670	16	177083	177099	0.9999096550516943
BXD005	3	chr14	115	365296	13	365411	365424	0.9999644248872542
BXD005	3	chr15	405	149997	6	150402	150408	0.9999601085048667
BXD005	3	chr16	229	132697	3	132926	132929	0.9999774315612093
BXD005	3	chr17	3117	206620	15	209737	209752	0.9999284869750944
BXD005	3	chr18	165	106369	4	106534	106538	0.9999624547109951
BXD005	3	chr19	184	136603	4	136787	136791	0.9999707583101227
BXD005	3	chr2	1338	372259	20	373597	373617	0.9999464692452431
BXD005	3	chr3	1149	318636	14	319785	319799	0.9999562225022592
BXD005	3	chr4	7465	286971	155	294436	294591	0.9994738467909746
BXD005	3	chr5	2299	226013	30	228312	228342	0.9998686181254434
BXD005	3	chr6	2300	244124	22	246424	246446	0.9999107309512023
BXD005	3	chr7	1706	350247	13	351953	351966	0.9999630646141957
BXD005	3	chr8	1349	314359	19	315708	315727	0.9999398214280059
BXD005	3	chr9	420	212242	8	212662	212670	0.9999623830347487
BXD006	4	chr1	3387	487119	22	490506	490528	0.9999551503685824
BXD006	4	chr10	1029	168068	10	169097	169107	0.9999408658423365
BXD006	4	chr11	1089	269174	7	270263	270270	0.9999740999741
BXD006	4	chr12	462	217214	8	217676	217684	0.9999632494808989
BXD006	4	chr13	930	176155	14	177085	177099	0.9999209481702325
BXD006	4	chr14	3157	362227	40	365384	365424	0.9998905381146285
BXD006	4	chr15	86	150315	7	150401	150408	0.9999534599223445
BXD006	4	chr16	380	132541	8	132921	132929	0.9999398174965584
BXD006	4	chr17	2942	206786	24	209728	209752	0.9998855791601511
BXD006	4	chr18	863	105669	6	106532	106538	0.9999436820664928
BXD006	4	chr19	1369	135413	9	136782	136791	0.9999342061977762
BXD006	4	chr2	1145	372450	22	373595	373617	0.9999411161697674
BXD006	4	chr3	214	319571	14	319785	319799	0.9999562225022592
BXD006	4	chr4	293	294285	13	294578	294591	0.9999558710211786
BXD006	4	chr5	717	227616	9	228333	228342	0.999960585437633
BXD006	4	chr6	835	245596	15	246431	246446	0.9999391347394561
BXD006	4	chr7	1392	350556	18	351948	351966	0.9999488586965787
BXD006	4	chr8	1263	314442	22	315705	315727	0.9999303195482173
BXD006	4	chr9	1611	211051	8	212662	212670	0.9999623830347487
BXD008	5	chr1	2340	488166	22	490506	490528	0.9999551503685824
BXD008	5	chr10	812	168276	19	169088	169107	0.9998876451004394
BXD008	5	chr11	158	270107	5	270265	270270	0.9999814999815
BXD008	5	chr12	356	217318	10	217674	217684	0.9999540618511237
BXD008	5	chr13	155	176937	7	177092	177099	0.9999604740851162
BXD008	5	chr14	2288	363113	23	365401	365424	0.9999370594159114
BXD008	5	chr15	588	149808	12	150396	150408	0.9999202170097335
BXD008	5	chr16	577	132346	6	132923	132929	0.9999548631224188
BXD008	5	chr17	190	209543	19	209733	209752	0.9999094168351196
BXD008	5	chr18	150	106381	7	106531	106538	0.9999342957442415
BXD008	5	chr19	906	135863	22	136769	136791	0.9998391707056751
BXD008	5	chr2	1553	372038	26	373591	373617	0.9999304100188161
BXD008	5	chr3	2147	317628	24	319775	319799	0.9999249528610158
BXD008	5	chr4	710	293861	20	294571	294591	0.9999321092633515
BXD008	5	chr5	565	227762	15	228327	228342	0.9999343090627217
BXD008	5	chr6	810	245619	17	246429	246446	0.9999310193713836
BXD008	5	chr7	213	351743	10	351956	351966	0.999971588164766
BXD008	5	chr8	986	314722	19	315708	315727	0.9999398214280059
BXD008	5	chr9	1401	211259	10	212660	212670	0.9999529787934358
BXD009	6	chr1	2084	488417	27	490501	490528	0.999944957270533
BXD009	6	chr10	82	169010	15	169092	169107	0.9999112987635047
BXD009	6	chr11	411	269854	5	270265	270270	0.9999814999815
BXD009	6	chr12	686	216984	14	217670	217684	0.9999356865915731
BXD009	6	chr13	1476	175609	14	177085	177099	0.9999209481702325
BXD009	6	chr14	2779	362607	38	365386	365424	0.999896011208897
BXD009	6	chr15	1335	149057	16	150392	150408	0.9998936226796447
BXD009	6	chr16	177	132746	6	132923	132929	0.9999548631224188
BXD009	6	chr17	2290	207447	15	209737	209752	0.9999284869750944
BXD009	6	chr18	953	105575	10	106528	106538	0.9999061367774879
BXD009	6	chr19	60	136729	2	136789	136791	0.9999853791550614
BXD009	6	chr2	1751	371840	26	373591	373617	0.9999304100188161
BXD009	6	chr3	821	318969	9	319790	319799	0.999971857322881
BXD009	6	chr4	7701	286752	138	294453	294591	0.9995315539171258
BXD009	6	chr5	759	227567	16	228326	228342	0.9999299296669032
BXD009	6	chr6	2171	244249	26	246420	246446	0.9998945002150572
BXD009	6	chr7	1267	350687	12	351954	351966	0.999965905797719
BXD009	6	chr8	1613	314097	17	315710	315727	0.9999461560145315
BXD009	6	chr9	918	211739	13	212657	212670	0.9999388724314666
BXD011	7	chr1	2999	487511	18	490510	490528	0.999963304847022
BXD011	7	chr10	468	168633	6	169101	169107	0.9999645195054019
BXD011	7	chr11	28	270236	6	270264	270270	0.9999777999778
BXD011	7	chr12	368	217304	12	217672	217684	0.9999448742213484
BXD011	7	chr13	1217	175870	12	177087	177099	0.9999322412887707
BXD011	7	chr14	2571	362829	24	365400	365424	0.999934322868777
BXD011	7	chr15	95	150306	7	150401	150408	0.9999534599223445
BXD011	7	chr16	1014	131909	6	132923	132929	0.9999548631224188
BXD011	7	chr17	2838	206888	26	209726	209752	0.9998760440901636
BXD011	7	chr18	497	106032	9	106529	106538	0.9999155230997391
BXD011	7	chr19	884	135896	11	136780	136791	0.9999195853528375
BXD011	7	chr2	1603	371998	16	373601	373617	0.9999571753961946
BXD011	7	chr3	2426	317355	18	319781	319799	0.9999437146457618
BXD011	7	chr4	337	294236	18	294573	294591	0.9999388983370164
BXD011	7	chr5	1189	227134	19	228323	228342	0.9999167914794475
BXD011	7	chr6	2233	244205	8	246438	246446	0.9999675385277099
BXD011	7	chr7	175	351780	11	351955	351966	0.9999687469812425
BXD011	7	chr8	2083	313623	21	315706	315727	0.9999334868414801
BXD011	7	chr9	291	212373	6	212664	212670	0.9999717872760615
BXD012	8	chr1	948	489563	17	490511	490528	0.9999653434666319
BXD012	8	chr10	323	168766	18	169089	169107	0.9998935585162058
BXD012	8	chr11	375	269885	10	270260	270270	0.999962999963
BXD012	8	chr12	636	217039	9	217675	217684	0.9999586556660113
BXD012	8	chr13	1476	175613	10	177089	177099	0.9999435344073089
BXD012	8	chr14	1073	364335	16	365408	365424	0.9999562152458514
BXD012	8	chr15	296	150099	13	150395	150408	0.9999135684272114
BXD012	8	chr16	313	132604	12	132917	132929	0.9999097262448374
BXD012	8	chr17	1425	208309	18	209734	209752	0.9999141843701133
BXD012	8	chr18	717	105816	5	106533	106538	0.9999530683887439
BXD012	8	chr19	58	136732	1	136790	136791	0.9999926895775307
BXD012	8	chr2	1893	371709	15	373602	373617	0.9999598519339323
BXD012	8	chr3	2390	317397	12	319787	319799	0.999962476430508
BXD012	8	chr4	7461	286968	162	294429	294591	0.9994500850331477
BXD012	8	chr5	1817	226506	19	228323	228342	0.9999167914794475
BXD012	8	chr6	454	245982	10	246436	246446	0.9999594231596374
BXD012	8	chr7	2745	349203	18	351948	351966	0.9999488586965787
BXD012	8	chr8	167	315542	18	315709	315727	0.9999429887212687
BXD012	8	chr9	1310	211354	6	212664	212670	0.9999717872760615
BXD013	9	chr1	3876	486631	21	490507	490528	0.9999571889881923
BXD013	9	chr10	177	168921	9	169098	169107	0.9999467792581028
BXD013	9	chr11	1672	268590	8	270262	270270	0.9999703999703999
BXD013	9	chr12	401	217277	6	217678	217684	0.9999724371106742
BXD013	9	chr13	1898	175192	9	177090	177099	0.999949180966578
BXD013	9	chr14	158	365251	15	365409	365424	0.9999589517929857
BXD013	9	chr15	659	149737	12	150396	150408	0.9999202170097335
BXD013	9	chr16	149	132773	7	132922	132929	0.9999473403094885
BXD013	9	chr17	1006	208728	18	209734	209752	0.9999141843701133
BXD013	9	chr18	752	105775	11	106527	106538	0.9998967504552366
BXD013	9	chr19	992	135789	10	136781	136791	0.9999268957753068
BXD013	9	chr2	2308	371278	31	373586	373617	0.9999170273301269
BXD013	9	chr3	2422	317354	23	319776	319799	0.9999280798251402
BXD013	9	chr4	2684	291893	14	294577	294591	0.999952476484346
BXD013	9	chr5	471	227852	19	228323	228342	0.9999167914794475
BXD013	9	chr6	3229	243189	28	246418	246446	0.9998863848469848
BXD013	9	chr7	1603	350354	9	351957	351966	0.9999744293482893
BXD013	9	chr8	3025	312680	22	315705	315727	0.9999303195482173
BXD013	9	chr9	130	212536	4	212666	212670	0.9999811915173743
BXD014	10	chr1	411	490101	16	490512	490528	0.9999673820862418
BXD014	10	chr10	439	168653	15	169092	169107	0.9999112987635047
BXD014	10	chr11	781	269483	6	270264	270270	0.9999777999778
BXD014	10	chr12	101	217576	7	217677	217684	0.9999678432957866
BXD014	10	chr13	1357	175734	8	177091	177099	0.9999548275258471
BXD014	10	chr14	2050	363342	32	365392	365424	0.9999124304917028
BXD014	10	chr15	868	149533	7	150401	150408	0.9999534599223445
BXD014	10	chr16	699	132220	10	132919	132929	0.9999247718706978
BXD014	10	chr17	653	209074	25	209727	209752	0.9998808116251573
