chrom	pos	end	het	hom	nocall	n_unq_gt_w_het	n_unq_gt_wo_het
chr8	3000745	3000756	0	65	89	1	1
chr8	3001858	3001869	0	110	44	1	1
chr8	3002474	3002517	5	27	122	4	1
chr8	3002579	3002590	0	128	26	1	1
chr8	3006910	3006965	5	57	92	5	2
chr8	3007485	3007536	1	22	131	3	2
chr8	3010474	3010485	0	85	69	1	1
chr8	3012772	3012795	13	91	50	2	1
chr8	3016198	3016209	0	128	26	1	1
chr8	3020544	3020555	0	133	21	1	1
chr8	3024274	3024285	0	124	30	1	1
chr8	3035972	3036066	0	0	154	0	0
chr8	3041327	3041370	4	33	117	3	1
chr8	3045396	3045409	1	138	15	2	1
chr8	3047434	3047445	0	111	43	1	1
chr8	3049618	3049629	0	123	31	1	1
chr8	3060983	3060994	1	139	14	2	1
chr8	3073818	3073873	0	0	154	0	0
chr8	3081495	3081506	0	136	18	1	1
chr8	3086755	3086766	0	143	11	1	1
chr8	3086768	3086779	0	143	11	1	1
chr8	3087204	3087215	0	133	21	1	1
chr8	3087214	3087229	0	141	13	1	1
chr8	3088879	3088906	0	131	23	1	1
chr8	3091223	3091234	1	103	50	2	1
chr8	3100085	3100100	0	81	73	1	1
chr8	3102935	3102946	0	153	1	1	1
chr8	3103336	3103347	0	150	4	1	1
chr8	3104754	3104765	0	152	2	1	1
chr8	3105537	3105554	0	147	7	1	1
chr8	3108656	3108667	0	154	0	1	1
chr8	3122868	3122881	0	152	2	1	1
chr8	3128211	3128226	0	111	43	1	1
chr8	3133522	3133536	0	135	19	1	1
chr8	3134912	3134923	0	120	34	1	1
chr8	3136307	3136356	0	0	154	0	0
chr8	3138301	3138312	0	137	17	1	1
chr8	3138502	3138531	5	91	58	5	1
chr8	3140146	3140187	0	134	20	1	1
chr8	3140894	3141019	0	0	154	0	0
chr8	3141040	3141054	0	109	45	1	1
chr8	3141062	3141073	0	120	34	1	1
chr8	3144993	3145020	0	146	8	1	1
chr8	3146901	3146912	0	88	66	1	1
chr8	3150759	3150770	0	149	5	1	1
chr8	3154541	3154586	14	28	112	4	1
chr8	3154857	3154876	0	133	21	1	1
chr8	3155037	3155051	0	123	31	1	1
chr8	3155143	3155157	0	125	29	1	1
chr8	3155261	3155325	1	18	135	2	1
chr8	3155629	3155640	0	112	42	1	1
chr8	3160049	3160060	0	146	8	1	1
chr8	3161032	3161043	0	144	10	1	1
chr8	3161230	3161257	0	131	23	1	1
chr8	3162413	3162424	0	106	48	1	1
chr8	3162964	3162975	0	117	37	1	1
chr8	3167986	3168001	0	147	7	1	1
chr8	3168906	3168950	1	151	2	3	2
chr8	3169061	3169105	7	78	69	5	1
chr8	3171696	3171731	7	20	127	4	1
chr8	3171916	3171963	4	14	136	2	1
chr8	3174963	3174974	0	114	40	1	1
chr8	3178945	3178959	0	144	10	1	1
chr8	3180175	3180222	6	113	35	7	3
chr8	3182362	3182373	0	130	24	1	1
chr8	3182441	3182452	0	148	6	1	1
chr8	3185389	3185414	10	80	64	3	1
chr8	3187436	3187450	0	144	10	1	1
chr8	3188565	3188576	0	148	6	1	1
chr8	3189660	3189699	0	147	7	2	2
chr8	3190892	3190903	0	146	8	1	1
chr8	3191008	3191019	0	137	17	1	1
chr8	3191613	3191624	0	153	1	1	1
chr8	3191965	3191980	1	130	23	2	1
chr8	3192925	3192968	6	22	126	4	1
chr8	3196173	3196187	0	145	9	1	1
chr8	3196699	3196746	0	2	152	1	1
chr8	3198417	3198436	1	135	18	2	1
chr8	3199096	3199107	0	151	3	1	1
chr8	3199790	3199805	1	39	114	2	1
chr8	3202393	3202404	0	109	45	1	1
chr8	3202520	3202531	0	112	42	1	1
chr8	3205977	3206008	9	102	43	3	1
chr8	3206539	3206574	17	54	83	4	1
chr8	3206691	3206702	0	149	5	1	1
chr8	3208375	3208386	0	126	28	1	1
chr8	3208431	3208470	2	126	26	5	3
chr8	3208648	3208675	10	51	93	4	1
chr8	3209653	3209704	2	7	145	3	1
chr8	3209933	3209944	0	154	0	1	1
chr8	3210939	3210952	0	139	15	1	1
chr8	3212410	3212441	5	83	66	3	1
chr8	3213564	3213583	0	106	48	1	1
chr8	3213833	3213880	2	3	149	2	1
chr8	3219330	3219377	6	75	73	5	2
chr8	3219538	3219549	0	106	48	1	1
chr8	3220118	3220129	0	138	16	1	1
chr8	3220421	3220440	0	96	58	1	1
chr8	3220924	3220987	0	0	154	0	0
chr8	3221921	3221958	5	29	120	3	1
chr8	3223602	3223635	5	64	85	4	1
chr8	3226154	3226169	0	146	8	1	1
chr8	3228517	3228540	0	148	6	1	1
chr8	3233105	3233120	1	138	15	2	1
chr8	3233388	3233427	20	39	95	4	1
chr8	3236719	3236736	0	124	30	1	1
